Press CTRL-C to stop.
         495696 function calls (481712 primitive calls) in 108.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.008    0.000    0.008    0.000 {method 'strftime' of 'datetime.date' objects}
       76    0.008    0.000    0.038    0.001 six.py:882(wrapper)
        4    0.008    0.002    0.008    0.002 {built-in method PIL._imagingft.getfont}
      166    0.008    0.000    0.590    0.004 utils.py:44(register_decorator)
       75    0.008    0.000    0.160    0.002 core.py:3603(__init__)
      416    0.008    0.000    0.013    0.000 copyreg.py:94(__newobj__)
      384    0.008    0.000    0.013    0.000 enum.py:12(_is_descriptor)
      406    0.008    0.000    0.008    0.000 {method 'strip' of 'str' objects}
      131    0.008    0.000    0.711    0.005 sre_compile.py:598(_code)
        1    0.008    0.008    0.009    0.009 entities.py:1(<module>)
       63    0.008    0.000    0.025    0.000 core.py:4349(__init__)
      616    0.008    0.000    0.010    0.000 _inspect.py:26(isfunction)
       66    0.008    0.000    0.072    0.001 <frozen importlib._bootstrap_external>:1259(_path_hooks)
        1    0.008    0.008    0.032    0.032 six.py:21(<module>)
